OBJECTID,Project Name,Status,Area,Type,Record Number,GlobalID,Description 1,Description 2,Construction Value ($)
1,Gator Golf Carts,Complete,Gateway/Airport,Commercial,COM2019-01213,5a977d80-7f30-4b0c-b5f9-f491b8205b79,"Single-phase construction of infrastructure to support a 9,052-SF single-story single-tenant commercial building for use as a golf cart sales facility on a 1.50-acre site with direct access to Global Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, sidewalk, fencing, access gates, landscaping, and related improvements in conformance with the approved plans.",,
2,Knott SWICP,Complete,Gateway/Airport,Industrial,DOS2019-00100,8b07d2a8-6ef4-4737-b4e9-1ea0cbe4e2b3,"Approved for the Phase 1 construction of infrastructure to support three single-story commercial buildings [Lot C-1: 44,179-SF, Lot C-2: 54,979-SF, Lot C-3: 44,179-SF] for a combined general light industrial/office use [Lot C-1: 28,716-SF, Lot C-2: 35,736-SF, Lot C-3: 28,716-SF general light industrial use] on a 13.16-acre site with direct access to Jetport Loop, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, three solid waste dumpster enclosures, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, bicycle racks, sidewalk, outdoor lighting, walls, monument signs, landscaping, and related improvements in conformance with the approved plans.",,
3,RecNation RV & Boat Storage,Complete,Gateway/Airport,Commercial,DOS2019-00075,efea0031-b29b-4311-ae69-ee063eabf642,"Approved for the single-phase construction of infrastructure to support five enclosed/unenclosed structures totaling 97,625-SF [Canopy A = 17,156-SF; Canopy B = 38,591-SF; Canopy C = 20,088-SF; Canopy D = 8,190-SF; Canopy E = 13,600-SF] for storage use and a 2-story commercial building for an office/caretaker residence use [1,287-SF office/1,383-SF caretaker residence] on a 6.90-acre site with direct access to Jetport Loop, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, outdoor lighting, access gates, walls, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
4,RT Moore Office Warehouse,Complete,Gateway/Airport,Industrial,COM2018-10580,10e7b1c1-31c3-41b8-9e1f-dc2562546d8f,"Approved for the single-phase construction of infrastructure to support a 25,200-SF single-story general office/warehouse building [5,500-SF office and 19,700-SF warehouse] on a 4.03-acre site with indirect access to Jetport Loop, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, outdoor lighting, fencing, access gates, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
5,Conditioned Air Office/Warehoure Building,Complete,Gateway/Airport,Industrial,COM2019-01944,ec5199b7-3b26-4dce-8b0b-8dff42b602bf,"Approved for the single-phase construction of a 47,850-SF single-story commercial office/warehouse building on a 4.11-acre site with access to Global Parkway and Jetport Loop, related site grading, and other improvements including constructing utility (electric, sanitary sewer, water, etc.) connections, dumpster enclosures, truck wells, stormwater management infrastructure, a paved covered/uncovered parking lot and driveway accesses, traffic signing and pavement marking, sidewalk, outdoor lighting, wall, landscaping, and related improvements in conformance with the approved plans.",,
6,Holiday Inn Express,Complete,Gateway/Airport,Commercial,DOS2018-10081,0dcfbf84-d574-4874-ba5e-7a09ba64de92,"Originally approved as Two-phase construction of infrastructure to support a 5-story 100-room hotel building [Building 1], a 4-story 50-room hotel building [Building 2], and a 4,720-SF single-story commercial building for use as a non-medical/-dental office facility [Building 3] on a 4.53-acre site with direct access to Global Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, three solid waste dumpster enclosures, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, bicycle racks, two uncovered patios, two pools and one large water feature, sidewalk, outdoor lighting, fencing, monument signs, landscaping, and related improvements in conformance with the approved plans.",,
7,Wildblue,Construction,Southeast Lee County,Residential,DCI2014-00009,eb504ea8-057f-4563-9c72-41357a986732,"Mixed use planned development approved for 1,096 residential units, 40,000 square feet of commercial, and 1,355 acres of conservation land.",Phase 4: DOS2020-00132 (169 SFR Units),
8,Premier Airport Park,Complete,Gateway/Airport,Industrial,DCI2006-00004,975f370f-605f-4b1d-a012-68fe52b1f494,"Originally approved for a five phase industrial park, consisting of 968,500 square feet in eight buildings [Bldg.# 1A: 104,500 sq.ft., Bldg.# 2A: 117,500 sq.ft., Bldg.# 3A: 130,500 sq.ft., Bldg.# 4A: 136,000 sq.ft., Bldg.# 4B: 136,000 sq.ft., Bldg.# 1B: 90,000 sq. ft.; Bldg.# 2B: 127,000 sq. ft.; Bldg.# 3B: 127,000 sq. ft.], and the construction of a 3,075 +/- foot four-lane divided east/west roadway extending from Airport Haul Road to the western property boundary with a cul-de-sac, drainage facilities, and related roadway improvements.",Phases 1-4 include DOS2008-00036 and DOS2009-00042.,
9,Florida Gulf Coast Technology & Research Park,Development Order,Gateway/Airport,Mixed Use,DOS2021-00017,9cbe6982-3fea-4c64-98fb-60bcb6df9ddc,"A Mixed Use Planned Development (MPD) to permit the development of up to 240 hotel/motel units; 650,000 square feet of retail use; 400,000 square feet of office use; and 3,897,000 square feet of industrial use. Approved for the Phase 1 construction of infrastructure to support a mixed-use planned development on a 231-acre site with direct access to Alico Road, related site grading, and other improvements including constructing/installing with the required permits.",,
10,Esplanade Lake Club,Complete,San Carlos,Residential,DCI2016-00017,df9b05a7-3a17-4baa-b60e-01728fd48aa2,"New residential community developed as part of the Centerplace Mixed Use Planned Development. The planned development allows for up to 1,950 residential units; 200,000 sq ft of retail; 110,000 sq ft of office; 20,000 sq ft of research & development; 10,000 sq ft of medical office; and 250 hotel/motel rooms. ",P1 DOS2018-10082,
