,geohash8,decision_date,decision_type
0,dhtyb35b,2022-07-01,repair
1,dhtyb35b,2022-04-01,repair
2,dhtyb35b,2023-04-01,repair
3,dhtwz27r,2023-03-01,repair
4,dhtwz27r,2023-05-01,repair
5,dhtz0c1g,2023-06-01,repair
6,dhtwz23x,2022-07-01,repair
7,dhtwz23x,2022-11-01,repair
8,dhtwz23x,2023-02-01,repair
9,dhtwz23x,2023-09-01,repair
10,dhtwzukj,2023-03-01,repair
11,dhtwz2t0,2023-05-01,repair
12,dhtwz2t0,2023-06-01,repair
13,dhtwz2t0,2023-09-01,repair
14,dhtz0m2s,2023-04-01,repair
15,dhtwz2s0,2023-04-01,repair
16,dhtwz2vu,2023-01-01,repair
17,dhtwz23x,2023-01-01,repair
18,dhtwz27x,2022-11-01,repair
19,dhtwz27x,2022-11-01,repair
20,dhtwz27x,2022-11-01,repair
21,dhtwz27x,2023-01-01,repair
22,dhtwz27x,2022-07-01,repair
23,dhtz0c1s,2023-09-01,repair
24,dhtwz22p,2022-11-01,repair
25,dhtwz2be,2023-01-01,repair
26,dhtybh56,2022-07-01,repair
27,dhtybh56,2023-08-01,repair
28,dhtwz0xf,2022-11-01,repair
29,dhtwz0xf,2023-03-01,repair
30,dhtwxw2n,2022-11-01,repair
31,dhtwz23z,2022-12-01,repair
32,dhtybh4k,2023-03-01,repair
33,dhtybj73,2023-04-01,repair
34,dhtybj73,2023-08-01,repair
35,dhtybj73,2023-08-01,repair
36,dhtxpcs6,2022-11-01,repair
37,dhtxpcs6,2023-01-01,repair
38,dhtxpcs6,2023-02-01,repair
39,dhtxpcs6,2023-04-01,repair
40,dhtxpcs6,2023-05-01,repair
41,dhtwz2yj,2022-10-01,repair
42,dhtwz2yj,2022-10-01,repair
43,dhtwz2c8,2022-12-01,repair
44,dhtwz2yt,2022-10-01,repair
45,dhtz0c6j,2022-11-01,repair
46,dhtz0c6j,2023-06-01,repair
47,dhtwz2bb,2023-01-01,repair
48,dhtwz22x,2022-11-01,repair
49,dhtwz22x,2022-11-01,repair
50,dhtwz22x,2023-01-01,repair
51,dhtwz2yh,2022-10-01,repair
52,dhtwz2yh,2022-12-01,repair
53,dhtyb4gs,2023-02-01,repair
54,dhtwz2sb,2023-03-01,repair
55,dhtwz2ym,2022-11-01,repair
56,dhtwz2cb,2022-11-01,repair
57,dhtwz0xf,2022-12-01,repair
58,dhtwz2xb,2023-01-01,repair
59,dhtwz2xb,2023-01-01,repair
60,dhtwz2bk,2022-12-01,repair
61,dhtwz2zm,2022-10-01,repair
62,dhtwz2zm,2022-12-01,repair
63,dhtwz23p,2022-11-01,repair
64,dhtwz23p,2022-12-01,repair
65,dhtwz23p,2023-01-01,repair
66,dhtwz8bj,2022-11-01,repair
67,dhtwz299,2023-08-01,repair
68,dhtwzv2t,2023-02-01,repair
69,dhtwz2c4,2022-12-01,repair
70,dhtwz2c4,2023-01-01,repair
71,dhtwz2yj,2022-10-01,repair
72,dhtwz300,2022-11-01,repair
73,dhtwz2yt,2023-01-01,repair
74,dhtwz0xv,2023-02-01,repair
75,dhtwz0xy,2022-10-01,repair
76,dhtwz3nb,2023-06-01,repair
77,dhtwz2c5,2022-07-01,repair
78,dhtwz2c5,2022-09-01,repair
79,dhtwz2c5,2022-11-01,repair
80,dhtwz2c5,2022-12-01,repair
81,dhtwz2c5,2023-03-01,repair
82,dhtwz2zj,2022-11-01,repair
83,dhtwz302,2022-07-01,repair
84,dhtwz2bk,2023-02-01,repair
85,dhtwz8br,2022-11-01,repair
86,dhtwz0zv,2023-02-01,repair
87,dhtwz22z,2023-02-01,repair
88,dhtwz310,2023-02-01,repair
89,dhtwz310,2023-05-01,repair
90,dhtwz291,2022-10-01,repair
91,dhtwz291,2023-05-01,repair
92,dhtwz306,2022-11-01,repair
93,dhtwz2bf,2023-04-01,repair
94,dhtwz2bf,2023-09-01,repair
95,dhtwz2ym,2023-01-01,repair
96,dhtwz2ym,2023-01-01,repair
97,dhtwz2ym,2023-07-01,repair
98,dhtwz2bj,2023-05-01,repair
99,dhtwz2cg,2023-01-01,repair
100,dhtwz2cg,2022-11-01,repair
101,dhtwz2cg,2023-08-01,repair
102,dhtwz5ze,2022-12-01,repair
103,dhtwz2bz,2022-10-01,repair
104,dhtwz2yj,2022-10-01,repair
105,dhtwz886,2023-01-01,repair
106,dhtwz886,2023-02-01,repair
107,dhtwz886,2023-05-01,repair
108,dhtwz2vt,2023-02-01,repair
109,dhtwz2yt,2022-10-01,repair
