Occupancy,DamageLevel,DamageType,FloodDepth,assessment_level,water_location,Latitude,Longitude,BldgValue,EstLoss,owner_renter,insurance_yesno
single_family,Major,Flood,58.0,Major,living_area,26.33642856800003,-81.81582311252869,112721.0,56360.5,owner,Unknown
single_family,Major,Flood,62.0,Major,living_area,26.33646310100005,-81.81629501367746,93212.0,46606.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.625736060000065,-81.76627980741311,203721.0,50930.25,unknown,Unknown
single_family,Major,Flood,66.0,Major,living_area,26.336298355000054,-81.81825713339181,71303.0,35651.5,unknown,Unknown
single_family,Major,Flood,54.0,Major,living_area,26.336268406000045,-81.81665001604225,381738.0,190869.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.695647224000027,-81.80243989653299,118348.0,29587.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.623242283000025,-81.76624600318709,167121.0,25068.149999999998,unknown,Unknown
single_family,Major,Flood,45.0,Major,living_area,26.33384736100004,-81.81894704784219,149491.0,74745.5,unknown,Unknown
single_family,Major,Flood,43.0,Major,"living_area,non_essential",26.38218164700004,-81.83259630661114,272825.0,136412.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.622407580000072,-81.76624649581494,198843.0,29826.449999999997,unknown,Unknown
single_family,Major,Flood,76.0,Major,"living_area,non_essential",26.381610463000072,-81.83262782256708,521940.0,260970.0,unknown,Unknown
multi_family,Major,Flood,58.0,Major,living_area,26.336368658000026,-81.81851978874488,107503.0,53751.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62153726100007,-81.76622487632915,198843.0,29826.449999999997,unknown,Unknown
single_family,Major,Flood,77.0,Major,"living_area,non_essential",26.381074649000027,-81.83211644265434,289989.0,144994.5,unknown,Unknown
single_family,Major,Flood,69.0,Major,living_area,26.336222080000027,-81.81801975789388,131585.0,65792.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.621259180000038,-81.76507226647747,207261.0,31089.149999999998,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.695887080000034,-81.80098743312334,181186.0,45296.5,unknown,Unknown
multi_family,Major,Flood,46.0,Major,living_area,26.33400632400003,-81.81896196762983,186972.0,93486.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.621369885000036,-81.76471610113015,200750.0,30112.5,unknown,Unknown
single_family,Major,Flood,74.0,Major,"living_area,non_essential",26.380508117000034,-81.83216237548373,108112.0,54056.0,owner,Unknown
single_family,Major,Flood,45.0,Major,living_area,26.335473785000033,-81.81897470812265,93820.0,46910.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62182047300007,-81.76490551012509,279916.0,41987.4,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72225965000007,-81.81844833238867,231362.0,34704.299999999996,unknown,Unknown
single_family,Major,Flood,38.0,Major,non_essential,26.380610837000063,-81.83260200630531,161119.0,80559.5,unknown,Unknown
single_family,Major,Flood,40.0,Major,living_area,26.335997564000024,-81.8192179209426,74120.0,37060.0,unknown,Unknown
single_family,Inaccessible,Inaccessible,,,,26.723736072000065,-81.8188643749225,103207.0,0.0,,
single_family,Inaccessible,Inaccessible,,,,26.723995839000054,-81.8199845861464,233877.0,0.0,,
single_family,Minor,Non-Flood,,Minor,,26.72231690900003,-81.71229152993921,75533.0,18883.25,unknown,Unknown
single_family,Major,Flood,76.0,Major,"living_area,non_essential",26.381482722000044,-81.832099678848,232652.0,116326.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.64240236100005,-81.67751174220213,150034.0,22505.1,unknown,Unknown
single_family,Major,Flood,45.0,Major,living_area,26.33626197800004,-81.81937628510379,71734.0,35867.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72057335100004,-81.8057148,389691.0,58453.65,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.762106867000057,-81.85594930259137,57052.0,14263.0,unknown,Unknown
single_family,Major,Flood,78.0,Major,"living_area,non_essential",26.382603131000053,-81.8325372980128,80478.0,40239.0,unknown,Unknown
single_family,Major,Flood,53.0,Major,living_area,26.336542520000023,-81.81934963065169,45272.0,22636.0,unknown,Unknown
single_family,Inaccessible,Inaccessible,,,,26.725762730000042,-81.8187536486458,117941.0,0.0,,
single_family,Minor,Non-Flood,,Minor,,26.68587160900006,-81.66733803615311,158097.0,39524.25,unknown,Unknown
single_family,Major,Flood,76.0,Major,"living_area,non_essential",26.381964640000035,-81.83305856857126,325399.0,162699.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72270806800003,-81.71223458928128,84420.0,21105.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72090174300007,-81.80509271892333,289671.0,43450.65,unknown,Unknown
single_family,Major,Flood,73.0,Major,"living_area,non_essential",26.381742436000025,-81.8330703032357,181268.0,90634.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.762383000000057,-81.85649280532489,52444.0,7866.599999999999,unknown,Unknown
single_family,Major,Flood,39.0,Major,living_area,26.33496219600005,-81.81944023902501,89723.0,44861.5,unknown,Unknown
single_family,Major,Non-Flood,,Major,,26.725759053000047,-81.56996840609739,54044.0,27022.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.685898189000056,-81.66762631634757,158097.0,23714.55,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.721634864000066,-81.80520341170205,110395.0,16559.25,unknown,Unknown
single_family,Major,Flood,75.0,Major,"living_area,non_essential",26.380507678000072,-81.83236387825062,108112.0,54056.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72232764200004,-81.7112277083693,0.0,0.0,unknown,Unknown
single_family,Major,Flood,73.0,Major,"living_area,non_essential",26.381280924000066,-81.8332838761812,137998.0,68999.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.641274637000038,-81.66842724111298,168041.0,25206.149999999998,unknown,Unknown
single_family,Major,Flood,28.0,Major,living_area,26.334950294000066,-81.81971692564885,90206.0,45103.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.643025240000043,-81.6517454424562,160295.0,24044.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.724735047000024,-81.80528908249904,179894.0,26984.1,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72586306200003,-81.82286528368512,227664.0,56916.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72307364900007,-81.5872880710937,241742.0,36261.299999999996,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,non_essential,26.702641920000076,-81.76486609844123,60878.0,15219.5,unknown,Unknown
single_family,Major,Flood,24.0,Major,living_area,26.335527891000027,-81.82001163336449,108787.0,54393.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.760990354000057,-81.85607683554042,145048.0,21757.2,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.685206790000052,-81.66773034492132,110511.0,27627.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.724692375000075,-81.80617708512649,233679.0,35051.85,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.621543950000046,-81.76624610407849,198843.0,49710.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.725591648000034,-81.80528696894957,237668.0,35650.2,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.722685949000038,-81.71050746243084,73100.0,18275.0,owner,Yes
single_family,Inaccessible,Inaccessible,,,,26.68400198200004,-81.5670416329483,,,,
single_family,Minor,Non-Flood,,Minor,,26.54300967300003,-81.56861886974721,128489.0,32122.25,unknown,No
single_family,Minor,Non-Flood,,Minor,,26.621821089000036,-81.76632855037536,202316.0,50579.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.761028735000025,-81.8570588777845,77299.0,11594.85,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.630015247000074,-81.66105816381543,192438.0,28865.7,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.723095433000026,-81.71217244917887,120354.0,18053.1,unknown,Unknown
single_family,Major,Flood,42.0,Major,living_area,26.33491609500004,-81.82020366276623,88267.0,44133.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.727213432000042,-81.82458834947617,182509.0,45627.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.76100579100006,-81.85660123753888,77299.0,11594.85,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727313881000043,-81.80609743211718,130152.0,19522.8,unknown,Unknown
single_family,Major,Flood,41.0,Major,living_area,26.334849166000026,-81.82059149342616,18346.0,9173.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72871232400007,-81.80655973440734,200279.0,30041.85,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.685333240000034,-81.66621618319093,118050.0,17707.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.623903573000064,-81.7651462592395,241667.0,36250.049999999996,unknown,Unknown
manufactured_home,Minor,Non-Flood,,Minor,,26.695121605000054,-81.80271714439527,218993.0,54748.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63838296700004,-81.66112523951902,306972.0,46045.799999999996,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.729503677000025,-81.80647685758746,262305.0,39345.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63380883900004,-81.56621107984812,119880.0,17982.0,unknown,Unknown
single_family,Minor,Flood,,Minor,living_area,26.723046132000036,-81.71174088400247,79034.0,19758.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.728987301000075,-81.80652719312629,183471.0,45867.75,unknown,Unknown
single_family,Major,Flood,42.0,Major,living_area,26.335690080000063,-81.82155826213842,111363.0,55681.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.684910323000054,-81.66457446781065,134880.0,33720.0,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.760232986000062,-81.85610669329411,290801.0,43620.15,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.729362544000026,-81.80751199251223,164708.0,24706.2,unknown,Unknown
single_family,Major,Flood,36.0,Major,living_area,26.33572419500007,-81.82207408445984,87071.0,43535.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.727404114000024,-81.82309235881796,195554.0,48888.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.623986227000046,-81.76482850476907,281605.0,42240.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.728784115000053,-81.80751788546338,150806.0,22620.899999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62388468100005,-81.76495216259805,288449.0,43267.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.726832715000057,-81.82252942294019,242947.0,36442.049999999996,unknown,Unknown
single_family,Major,Flood,45.0,Major,living_area,26.336209088000032,-81.82207685048789,233699.0,116849.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.634155183000075,-81.566263022283,97351.0,14602.65,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.635539057000074,-81.66250775239195,144832.0,21724.8,unknown,Unknown
single_family,Minor,Flood,,Minor,living_area,26.72235260700006,-81.71036911835519,56862.0,14215.5,owner,Yes
single_family,Affected,Non-Flood,,Affected,,26.59644819600004,-81.61474519484432,131864.0,19779.6,unknown,Unknown
single_family,Major,Flood,32.0,Major,living_area,26.33611856300007,-81.82237038473708,156926.0,78463.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.723237578000067,-81.7116388332648,74541.0,11181.15,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72682399100006,-81.82159119773172,147463.0,22119.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.624191917000076,-81.76438049868926,300505.0,45075.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72884862500007,-81.80850018759517,302129.0,45319.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.633046019000062,-81.66200088769355,180305.0,27045.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62410770500003,-81.76393617396904,203111.0,30466.649999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.72284757400007,-81.71052711774712,52489.0,13122.25,renter,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72857175100006,-81.80857365264289,315003.0,47250.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.684316742000078,-81.56763165265467,174231.0,26134.649999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.642114270000036,-81.56636725501554,315963.0,47394.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.68488262900007,-81.6651190561329,172996.0,25949.4,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68486759600006,-81.66602442754092,137630.0,34407.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.728438050000022,-81.80799277962112,161794.0,24269.1,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.594635164000067,-81.61540992167565,81041.0,12156.15,unknown,Unknown
single_family,Minor,Flood,,Minor,living_area,26.723840929000062,-81.71167555983891,65966.0,16491.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.624424201000068,-81.76412654478862,281004.0,42150.6,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.631491804000063,-81.66244544432308,131792.0,19768.8,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.546113452000043,-81.56961967103011,108863.0,16329.449999999999,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68968912300005,-81.80314377184607,136957.0,34239.25,unknown,Unknown
single_family,Minor,Flood,,Minor,living_area,26.722795725000026,-81.71007980300335,54557.0,13639.25,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72826871700005,-81.80865130710936,163751.0,24562.649999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.628293331000066,-81.66190280896569,199481.0,29922.149999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.722953971000038,-81.71008058589362,55153.0,13788.25,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.54480639800005,-81.56931253229719,140145.0,21021.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72670048200007,-81.82040966869148,376019.0,94004.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.728187941000044,-81.80807815834567,216496.0,32474.399999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.72301409100004,-81.71046553915231,63866.0,15966.5,unknown,Unknown
manufactured_home,Major,Non-Flood,,Major,,26.719878726000047,-81.60172230400615,41948.0,20974.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.684271934000037,-81.56827122977388,119571.0,29892.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.542551033000052,-81.56998785514033,123951.0,30987.75,unknown,Unknown
single_family,Inaccessible,Inaccessible,,,,26.705692001000045,-81.7589299357148,140914.0,0.0,,
single_family,Affected,Non-Flood,,Affected,,26.623680329000024,-81.7626602463003,190006.0,28500.899999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.723103182000045,-81.71006558490653,84479.0,21119.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727229476000048,-81.80782584887994,263461.0,39519.15,unknown,Unknown
single_family,Minor,Flood,8.0,Minor,living_area,26.72345959100005,-81.71034285920034,75702.0,18925.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.727486959000032,-81.82046304624427,271022.0,67755.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727241630000037,-81.80724191077037,127563.0,19134.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63681918900005,-81.56765149397424,206788.0,31018.199999999997,owner,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.723178059000077,-81.71050347220219,59729.0,14932.25,unknown,Unknown
single_family,Major,Non-Flood,,Major,,26.684024246000035,-81.6653744908162,169544.0,84772.0,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.640556136000043,-81.65825115169979,139229.0,20884.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62320842200006,-81.7620649773147,288449.0,43267.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727330622000068,-81.82152517306073,148434.0,22265.1,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727386550000062,-81.80696525316355,197555.0,29633.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.721092447000046,-81.6057011800542,177705.0,26655.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.75839842000005,-81.85729337638406,31018.0,7754.5,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.723283707000064,-81.71009620804885,75702.0,18925.5,unknown,Unknown
