Description,Status,Related Records,Submittal Type,Unnamed: 6,lon,lat,record_date,original_lon,original_lat,mapping_distance_meters,mapped_to_sales_idx
Single Family Residence ***INSPECTIONS DONE BY PRIVATE PROVIDER-EATLANTIC ENGINEERING***,Closed-CO Issued,4,ePlan,,-81.89766726846818,26.50458674953596,2022-07-01,-81.897667004604,26.504579870043,0.7663882596480486,3309
adjusted a couple of the elevation marks on the site plan,Closed-Revision Approved,4,ePlan,,-81.89766726846818,26.50458674953596,2022-04-01,-81.897667004604,26.504579870043,0.7663882596480486,3309
"Construct pool, paver deck *Inspections Done By Private Provider, eAtlantic Engineering*",Permit Issued,5,ePlan,,-81.89766726846818,26.50458674953596,2023-04-01,-81.897667004604,26.504579870043,0.7663882596480486,3309
Replace package unit like for like,Closed-CC Issued,0,ePlan,,-81.94240156893432,26.5017643249244,2023-03-01,-81.942395781943,26.501758465201,0.9167905023182663,12778
Demolish and remove hurricane damaged mobile home. No concrete or tree removal,Closed-CC Issued,0,ePlan,,-81.94240156893432,26.5017643249244,2023-05-01,-81.942395781943,26.501758465201,0.9167905023182663,12778
r/r shingle roof,Closed-CC Issued,0,ePlan,,-81.87855349802552,26.549141593498,2023-06-01,-81.878562237299,26.549140821802,0.9766413615811148,17437
"MOVED DOOR AND ADDED TWO WINDOWS Hurricane Damage: Add scope of work for drywall, insulation, interior doors, cabinets, plumbing and infill 2 windows***",Closed-CC Issued,1,Paper Submittal,,-81.94481923518404,26.50166340577673,2022-07-01,-81.944822620217,26.50167275261,1.1066223736060852,12347
"Hurricane Damage: Add scope of work for drywall, insulation, interior doors, cabinets, plumbing and infill 2 windows.",Closed-Revision Approved,1,Paper Submittal,,-81.94481923518404,26.50166340577673,2022-11-01,-81.944822620217,26.50167275261,1.1066223736060852,12347
AC REPLACEMENT LIKE FOR LIKE,Closed-Withdrawn,0,ePlan,,-81.94481923518404,26.50166340577673,2023-02-01,-81.944822620217,26.50167275261,1.1066223736060852,12347
"Replace carport damaged in Hurricane Ian, like for like",Closed-Withdrawn,0,ePlan,,-81.94481923518404,26.50166340577673,2023-09-01,-81.944822620217,26.50167275261,1.1066223736060852,12347
like for like replacement 3 ton 16 seer split system,Closed-CC Issued,0,ePlan,,-81.91936991855428,26.52334068600039,2023-03-01,-81.919383287697,26.523326918106,2.136325913098259,3195
Replacement Mobile Home Tie Down,Closed-CO Issued,1,ePlan,,-81.93990529021154,26.501813242188,2023-05-01,-81.939915983665,26.501794465135,2.4054592350423354,12897
Demolish and remove hurricane damaged mobile home. No concrete or tree removal,Closed-CC Issued,0,ePlan,,-81.93990529021154,26.501813242188,2023-06-01,-81.939915983665,26.501794465135,2.4054592350423354,12897
Demolition of Concrete Slab due to Hurricane Ian,Closed-CC Issued,0,ePlan,,-81.93990529021154,26.501813242188,2023-09-01,-81.939915983665,26.501794465135,2.4054592350423354,12897
"Installing 4 Bahama Shutters *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.90231422636302,26.572497095598447,2023-04-01,-81.902336065347,26.572496643583,2.431636376893724,1531
TEARING DOWN AND HAULING AWAY HURRICANE IAN DAMAGED MOBILE HOME,Permit Expired,0,ePlan,,-81.94129578747278,26.50178514585333,2023-04-01,-81.941315533588,26.501774176659,2.514532003747649,12826
"A/C Change out, like for like, replace 4 supply ducts, replace duct trunk lines, add duct return, 2.5 Ton, 14 SEER, 8 KW",Permit Issued,0,ePlan,,-81.93907989662073,26.50397393228553,2023-01-01,-81.939066695369,26.503992873173,2.5700947363724307,11622
Demolition of permanent travel trailer due to Hurricane Ian damage,Closed-CC Issued,0,ePlan,,-81.9449477884528,26.501661971385232,2023-01-01,-81.944926307551,26.50167122499,2.6036944691389374,12346
Installation of new replacement mobile home from storm damage,Closed-CO Issued,1,ePlan,,-81.94211033940427,26.501769913698155,2022-11-01,-81.942134157347,26.501765012181,2.70697479736879,12801
SET REPLACEMENT MANUFACTURED HOME,Closed-CO Issued,1,ePlan,,-81.94211033940427,26.501769913698155,2022-11-01,-81.942134157347,26.501765012181,2.70697479736879,12801
"Demolition of single wide mobile home, carport, and addition from storm damage",Closed-CC Issued,0,ePlan,,-81.94211033940427,26.501769913698155,2022-11-01,-81.942134157347,26.501765012181,2.70697479736879,12801
demolish and haul away the entire hurricane ian damaged mobile home,Closed-CC Issued,0,ePlan,,-81.94211033940427,26.501769913698155,2023-01-01,-81.942134157347,26.501765012181,2.70697479736879,12801
CHANGED FLOOR PLANS RESULTING IN A DIFFERENT SITE PLAN,Closed-Revision Approved,1,ePlan,,-81.94211033940427,26.501769913698155,2022-07-01,-81.942134157347,26.501765012181,2.70697479736879,12801
R/R shingle roof,Closed-CC Issued,0,ePlan,,-81.87893885574107,26.54924736590921,2023-09-01,-81.878915843171,26.549257142188,2.783342862608087,17436
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94698465438698,26.501623143455543,2022-11-01,-81.947001137577,26.501643873937,2.9482958877613656,12329
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94626301976892,26.503648394743088,2023-01-01,-81.946271013713,26.503673694222,2.9535836747924766,12060
Replace split system,Closed-CC Issued,0,ePlan,,-81.90942103210456,26.52144728751744,2022-07-01,-81.909396850802,26.521458276877,2.956801316531146,14232
Replace existing Challenger Panel with new SQD,Permit Expired,0,ePlan,,-81.90942103210456,26.52144728751744,2023-08-01,-81.909396850802,26.521458276877,2.956801316531146,14232
demo of mobile,Closed-CC Issued,0,ePlan,,-81.94703462798253,26.502162734485985,2022-11-01,-81.947031926232,26.502189955752,3.0451601351437847,12247
RV placement for temporary housing due to hurricane Ian,Permit Issued,0,Paper Submittal,,-81.94703462798253,26.502162734485985,2023-03-01,-81.947031926232,26.502189955752,3.0451601351437847,12247
Replace existing pedestal with new pedestaldue to hurricane damage,Closed-CC Issued,0,ePlan,,-81.93574619562206,26.49050219818772,2022-11-01,-81.935764168832,26.490480304297,3.1532826440619335,6222
demolition of mobile,Waiting on Applicant,0,ePlan,,-81.94443276848845,26.501664487808124,2022-12-01,-81.94440787088,26.501678863088,3.2004056231971485,12350
SHINGLE  tear off RE-ROOF,Closed-CC Issued,0,ePlan,,-81.91084263364863,26.52173427091364,2023-03-01,-81.91081296271,26.521733394464,3.304409580348905,14209
INSTALL POOL CAGE REPLACING THE OLD ONE DESTROYED BY IAN,Closed-CC Issued,0,ePlan,,-81.90945169243864,26.52801863193767,2023-04-01,-81.909465433443,26.528046153654,3.4243524269632486,10904
SET/INSTALL 500GALLON UG LP TANK. CONNECT TO GENERATOR.,Closed-CC Issued,0,ePlan,,-81.90945169243864,26.52801863193767,2023-08-01,-81.909465433443,26.528046153654,3.4243524269632486,10904
SET/INSTALL 22KW GENERATOR. INSTALL/WIRE 200AMP ATS.,Closed-CC Issued,0,ePlan,,-81.90945169243864,26.52801863193767,2023-08-01,-81.909465433443,26.528046153654,3.4243524269632486,10904
Replace Split AC System,Closed-CC Issued,0,ePlan,,-81.91901244499856,26.55172697694373,2022-11-01,-81.919006805341,26.55169672515,3.4256489715232457,8493
Re-Roof Building 7 (4574 Trawler Ct),Closed-Voided,0,ePlan,,-81.91901244499856,26.55172697694373,2023-01-01,-81.919006805341,26.55169672515,3.4256489715232457,8493
"4574 Trawler Ct., Fort Myers, FL 33919Building 7 on Site Map Brava Approved Synthetic Tile being installed.",Closed-CC Issued,0,ePlan,,-81.91901244499856,26.55172697694373,2023-02-01,-81.919006805341,26.55169672515,3.4256489715232457,8493
Interior Remodel,Closed-Withdrawn,0,ePlan,,-81.91901244499856,26.55172697694373,2023-04-01,-81.919006805341,26.55169672515,3.4256489715232457,8493
"Installing 1 Storm Catcher Rolldown Screen MOT *Inspections Done By Private Provider â Innovative Construction Inspection, Inc*",Closed-CC Issued,0,ePlan,,-81.91901244499856,26.55172697694373,2023-05-01,-81.919006805341,26.55169672515,3.4256489715232457,8493
Hurricane Ian Damage - AC change out and Duct Work,Permit Expired,0,Paper Submittal,,-81.93866303717654,26.503977748173405,2022-10-01,-81.938643025196,26.504002514586,3.544549344207521,11619
Hurricane Ian Damage - Re-model,Closed-Voided,0,Paper Submittal,,-81.93866303717654,26.503977748173405,2022-10-01,-81.938643025196,26.504002514586,3.544549344207521,11619
demo of mobile home,Waiting on Applicant,0,ePlan,,-81.944734218139,26.503335499788346,2022-12-01,-81.944747587952,26.50330646487,3.5583736762246456,12113
DUCT WORK ONLY,Closed-CC Issued,0,Paper Submittal,,-81.93802785343333,26.50399181546276,2022-10-01,-81.93803315662,26.504024030614,3.634456943494109,11614
Like for Like Split System Replacement,Closed-CC Issued,0,ePlan,,-81.87827166885687,26.550853695975928,2022-11-01,-81.878303496306,26.55086356777,3.7095439329489155,17433
R/R shingle,Closed-CC Issued,0,ePlan,,-81.87827166885687,26.550853695975928,2023-06-01,-81.878303496306,26.55086356777,3.7095439329489155,17433
reroof,Closed-CC Issued,0,ePlan,,-81.94574739489579,26.50332223496196,2023-01-01,-81.945745195843,26.503288464897,3.767245645515938,12105
demo of mobile,Closed-Voided,0,ePlan,,-81.9460988109768,26.501640234862137,2022-11-01,-81.946066868226,26.501654421175,3.890774623622652,12336
demo of mobile,Closed-CC Issued,0,ePlan,,-81.9460988109768,26.501640234862137,2022-11-01,-81.946066868226,26.501654421175,3.890774623622652,12336
RV placement for temporary housing due to hurricane Ian,Permit Issued,0,Paper Submittal,,-81.9460988109768,26.501640234862137,2023-01-01,-81.946066868226,26.501654421175,3.890774623622652,12336
REPLACE DUCT WORK AND INSULATION,Permit Expired,0,ePlan,,-81.93880166321742,26.503976481566337,2022-10-01,-81.938772950143,26.503996617746,3.9039947390451264,11620
"Replace storage building destroyed by Hurricane IANSame plot location same size,using county approved plans",Permit Expired,0,ePlan,,-81.93880166321742,26.503976481566337,2022-12-01,-81.938772950143,26.503996617746,3.9039947390451264,11620
RE-Roof Tile to Tile,Closed-CC Issued,0,ePlan,,-81.9089389046895,26.51482414757961,2023-02-01,-81.908913833225,26.514848990244,3.9290382670119,7050
Demo,Closed-CC Issued,0,ePlan,,-81.94018922578364,26.5018046703374,2023-03-01,-81.940224555439,26.501802211887,3.942407703446727,12874
Hurricane Ian Damage - Re-model,Permit Expired,0,Paper Submittal,,-81.93814615246282,26.50399073329313,2022-11-01,-81.938130036051,26.504022721434,3.987338642037896,11615
demo of mobile home,Closed-CC Issued,0,ePlan,,-81.94448811905566,26.503340905488173,2022-11-01,-81.944498123879,26.503306464864,3.9924217428171405,5789
